"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart Function","0","Shopping Cart","9","0","","0"
"1","User Authentication","1","Login Account","17","0","","0"
"1","Search Function","0","Search Product","10","0","","0"
"1","Checkout Function","0","Order Placement","3","0","","0"
"2","User Authentication","4","Register Account","12","0","","0"
