"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm tra khi nhập số lượng vượt quá tồn kho","2196","verifyQuantityOverflow","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyQuantityOverflow"
"Đăng nhập với dữ liệu không hợp lệ","3333","testLoginNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginNegativeBoundary"
"Kiểm tra sản phẩm đã được thêm vào giỏ hàng thành công","984","verifyProductsAddedToCart","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyProductsAddedToCart"
"Đăng ký thất bại với dữ liệu không hợp lệ","10736","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Đăng nhập với dữ liệu không hợp lệ","3629","testLoginNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginNegativeBoundary"
"Đăng nhập với dữ liệu đúng khi bị khóa đăng nhập","5882","testLoginWhenLoginBlock","OpenCart Regression Suite","2026-04-07","broken","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginWhenLoginBlock"
"Nhấn nút login nhiều lần xem có khóa tạm thời không","5962","testBlockLogin","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testBlockLogin"
"Đăng ký thất bại với dữ liệu không hợp lệ","11242","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Kiểm tra thanh toán thất bại khi email không hợp lệ và số điện thoại là chữ cái","11853","checkoutFailInvailEmailAndPhone","OpenCart Demo Suite","2026-04-17","broken","2026-04-17","com.opencart.tests.CheckoutTest","OpenCart Demo Tests","com.opencart.tests.CheckoutTest","checkoutFailInvailEmailAndPhone"
"Search với keyword không hợp lệ","1896","searchInvalidKeyword","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","searchInvalidKeyword"
"Kiểm tra thất bại khi không đồng ý điều khoản","10059","checkoutFailWithoutAgree","OpenCart Demo Suite","2026-04-17","passed","2026-04-17","com.opencart.tests.CheckoutTest","OpenCart Demo Tests","com.opencart.tests.CheckoutTest","checkoutFailWithoutAgree"
"Kiểm tra hệ thống xử lý khi nhập ký tự không hợp lệ","6493","verifyInvalidQuantityText","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyInvalidQuantityText"
"Đăng ký thành công với dữ liệu hợp lệ","9398","Đăng ký với dữ liệu hợp lệ","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerSuccess"
"Kiểm tra khi cập nhật số lượng thì tổng tiền sản phẩm thay đổi đúng","2479","verifyUpdateQuantityUpdatesTotalPrice","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyUpdateQuantityUpdatesTotalPrice"
"Kiểm tra giỏ hàng vẫn giữ nguyên sau khi reload trang","2554","verifyReloadKeepsCartState","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyReloadKeepsCartState"
