"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm tra hệ thống xử lý khi nhập số lượng âm","6596","verifyNegativeQuantity","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyNegativeQuantity"
"Kiểm tra hệ thống xử lý khi nhập số lượng = 0","1837","verifyQuantityZero","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyQuantityZero"
"Lọc sản phẩm theo danh mục","3336","filterFromCategory","OpenCart Regression Suite","2026-04-07","broken","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","filterFromCategory"
"Search với keyword hợp lệ và hiển thị danh sách sản phẩm","1753","searchValidKeyword","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","searchValidKeyword"
"Search với keyword hợp lệ và hiển thị danh sách sản phẩm","1988","searchValidKeyword","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","searchValidKeyword"
"Đăng ký thất bại với dữ liệu không hợp lệ","10966","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Đăng ký thất bại với dữ liệu không hợp lệ","24765","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","failed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Đăng nhập với dữ liệu không hợp lệ","3406","testLoginNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginNegativeBoundary"
"Search với keyword không hợp lệ","1866","searchInvalidKeyword","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","searchInvalidKeyword"
"Đăng ký thất bại với dữ liệu không hợp lệ","10641","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Đăng ký thất bại với dữ liệu không hợp lệ","11213","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Đăng nhập tài khoản với dữ liệu hợp lệ","6163","testLoginSuccess","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginSuccess"
"Đăng ký thất bại với dữ liệu không hợp lệ","24071","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","failed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
"Kiểm tra khách vãng lai thanh toán thành công","16497","guestCheckoutSuccess","OpenCart Demo Suite","2026-04-17","passed","2026-04-17","com.opencart.tests.CheckoutTest","OpenCart Demo Tests","com.opencart.tests.CheckoutTest","guestCheckoutSuccess"
"Lọc sản phẩm","5241","filterProduct","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.SearchTest","OpenCart Tests","com.opencart.tests.SearchTest","filterProduct"
"Kiểm tra có thể xóa sản phẩm khỏi giỏ hàng","1718","verifyRemoveProduct","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyRemoveProduct"
"Kiểm tra thanh toán thành công với khách có tài khoản","11036","checkoutWithAccountSuccess","OpenCart Demo Suite","2026-04-17","passed","2026-04-17","com.opencart.tests.CheckoutTest","OpenCart Demo Tests","com.opencart.tests.CheckoutTest","checkoutWithAccountSuccess"
"Kiểm tra tổng tiền giỏ hàng được tính đúng","6059","verifyCartTotalPrice","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.CartTest","OpenCart Tests","com.opencart.tests.CartTest","verifyCartTotalPrice"
"Đăng nhập với mật khẩu: {password}","3388","testLoginWithPassSQLInjection","OpenCart Regression Suite","2026-04-07","passed","2026-04-07","com.opencart.tests.LoginTest","OpenCart Tests","com.opencart.tests.LoginTest","testLoginWithPassSQLInjection"
"Đăng ký thất bại với dữ liệu không hợp lệ","24876","registerNegativeBoundary","OpenCart Regression Suite","2026-04-07","failed","2026-04-07","com.opencart.tests.RegisterTest","OpenCart Tests","com.opencart.tests.RegisterTest","registerNegativeBoundary"
